brand,screen_size,harddisk,cpu,OS,price,integer_ram
Dell,15.6,256.0,Intel,Win,1169.99,16.0
Rokc,14.0,1000.0,Intel,Win,589.99,8.0
Hp,15.6,1000.0,Intel,Win,999.99,64.0
Toughbook,12.0,256.0,Intel,Win,993.99,8.0
Microsoft,15.0,512.0,Ryzen,Win,858.98,8.0
Asus,13.9,1.0,Intel,Win,1399.9,1.0
Lenovo,14.0,512.0,Intel,Win,2079.99,16.0
Msi,13.3,1.0,Intel,Win,1299.0,32.0
Rokc,14.0,1000.0,Intel,Win,589.99,8.0
Hp,15.6,1000.0,Intel,Win,999.99,64.0
Lenovo,16.0,1.0,Intel,Win,2349.99,32.0
Dell,18.0,1000.0,Intel,Win,2929.99,32.0
Dell,15.6,1000.0,Intel,Win,930.17,32.0
Asus,17.3,32.0,Celeron,Chrome OS,259.99,4.0
Dell,14.0,256.0,Intel,Win,899.0,8.0
Acer,17.3,256.0,Intel,Win,493.49,8.0
Rokc,14.0,1000.0,Intel,Win,589.99,8.0
Hp,15.6,1000.0,Intel,Win,999.99,64.0
Msi,16.0,1.0,Intel,Win,3499.0,32.0
Dell,16.0,1.0,Intel,Win,1096.99,40.0
Quality refurbished computers,15.6,120.0,Intel,Win,159.0,8.0
Lenovo,15.6,256.0,Ryzen,Win,395.0,4.0
Panasonic,14.0,512.0,Intel,Win,799.99,16.0
Dell,15.6,1.0,Intel,Win,2022.0,16.0
Rokc,15.6,1152.0,Pentium,Win,389.99,20.0
Hp,15.6,1000.0,Pentium,Win,459.99,16.0
Rokc,15.6,1000.0,Intel,Win,639.99,20.0
Dell,15.6,1.0,Ryzen,Win,548.0,32.0
Rokc,14.0,1000.0,Intel,Win,589.99,8.0
Hp,15.6,1000.0,Intel,Win,999.99,64.0
Hp,11.6,128.0,Intel,Win,369.0,4.0
Hp,17.3,512.0,Intel,Win,639.99,8.0
Rokc,14.0,1000.0,Intel,Win,589.99,8.0
Hp,15.6,1000.0,Intel,Win,999.99,64.0
Dell,15.6,512.0,Intel,Win,1552.3,16.0
Dell,14.0,512.0,Intel,Win,350.0,8.0
Hp,15.6,512.0,Ryzen,Win,675.0,16.0
Dell,16.0,1000.0,Intel,Win,849.99,16.0
Dell,14.1,256.0,Intel,Win,415.0,8.0
Lenovo,15.6,256.0,Intel,Win,299.99,4.0
Rokc,15.6,1152.0,Pentium,Win,389.99,20.0
Hp,15.6,1000.0,Pentium,Win,459.99,16.0
Rokc,15.6,1000.0,Intel,Win,639.99,20.0
Lenovo,15.6,512.0,Intel,Win,816.33,16.0
Acer,15.6,64.0,Pentium,Chrome OS,399.99,8.0
Dell,17.3,512.0,Intel,Win,2199.0,16.0
Hp,15.6,256.0,Intel,Win,719.99,8.0
Rokc,14.0,1000.0,Intel,Win,589.99,8.0
Hp,15.6,1000.0,Intel,Win,999.99,64.0
Asus,14.0,1.0,Intel,Win,1299.99,16.0
Hp,15.6,256.0,Ryzen,Win,457.64,8.0
Rokc,14.0,1000.0,Intel,Win,589.99,8.0
Hp,15.6,1000.0,Intel,Win,999.99,64.0
Dell,11.0,16.0,Celeron,Chrome OS,57.99,4.0
Hp,15.6,512.0,Intel,Win,1169.99,16.0
Lenovo,15.6,256.0,Intel,Win,799.0,8.0
Rokc,14.0,1000.0,Intel,Win,589.99,8.0
Hp,15.6,1000.0,Intel,Win,999.99,64.0
Lenovo,14.0,512.0,Intel,Win,1270.77,16.0
Acer,15.6,64.0,Celeron,Chrome OS,345.44,8.0
Hp,16.0,512.0,Ryzen,Win,1427.99,16.0
Rokc,14.0,1000.0,Intel,Win,589.99,8.0
Hp,15.6,1000.0,Intel,Win,999.99,64.0
Acer,14.0,512.0,Intel,Win,668.55,8.0
Lenovo,14.0,256.0,Intel,Win,883.58,8.0
Hp,13.5,512.0,Intel,Win,2039.0,16.0
Msi,17.3,1.0,Ryzen,Win,1499.0,32.0
Rokc,14.0,1000.0,Intel,Win,589.99,8.0
Hp,15.6,1000.0,Intel,Win,999.99,64.0
Gigabyte,17.3,1.0,Intel,Win,2149.0,16.0
Rokc,14.0,1000.0,Intel,Win,589.99,8.0
Hp,15.6,1000.0,Intel,Win,999.99,64.0
